,Active,Active_scale,Confirmed,Country_Region,Date,Deaths,FIPS,Hospitalization_Rate,ISO3,Incident_Rate,Last_Update,Lat,Long_,Mortality_Rate,People_Hospitalized,People_Tested,Province_State,Recovered,Testing_Rate,UID,Active_per1000
50,5133.0,5.133,5274,US,2020-04-12,141,51.0,14.23966629,USA,66.69845192,2020-04-12 23:18:15,37.7693,-78.17,2.673492605,751.0,39985.0,VA,,505.6764505,84000051.0,5.133
51,10103.0,10.103,10609,US,2020-04-12,506,53.0,6.051465737000001,USA,140.5276682,2020-04-12 23:18:15,47.4009,-121.4905,4.769535299999999,642.0,93615.0,WA,,1240.031828,84000053.0,10.103
52,587.0,0.587,593,US,2020-04-12,6,54.0,13.65935919,USA,44.82244115,2020-04-12 23:18:15,38.4912,-80.9545,1.0118043840000002,81.0,16257.0,WV,83.0,1228.8000439999998,84000054.0,0.587
53,3197.0,3.197,3341,US,2020-04-12,144,55.0,29.15294822,USA,64.56573888,2020-04-12 23:18:15,44.2685,-89.6165,4.3100868,974.0,39257.0,WI,,758.6522632,84000055.0,3.197
54,270.0,0.27,270,US,2020-04-12,0,56.0,14.81481481,USA,54.29973453,2020-04-12 23:18:15,42.756,-107.3025,0.0,40.0,5459.0,WY,137.0,1097.860188,84000056.0,0.27
0,3635.0,3.635,3734,US,2020-04-13,99,1.0,12.23888591322978,USA,79.63493333293523,2020-04-13 23:07:54,32.3182,-86.9023,2.6513122656668453,457.0,29182.0,AL,,622.3638523089759,84000001.0,3.635
1,269.0,0.269,277,US,2020-04-13,8,2.0,11.552346570397113,USA,46.34052085407085,2020-04-13 23:07:54,61.3707,-152.4044,2.888086642599278,32.0,7830.0,AK,85.0,1309.9143620482844,84000002.0,0.269
3,3583.0,3.583,3705,US,2020-04-13,122,4.0,14.170040485829961,USA,50.90182789082197,2020-04-13 23:07:54,33.7298,-111.4312,3.292847503373819,525.0,43347.0,AZ,,595.5307782951309,84000004.0,3.583
4,1381.0,1.381,1410,US,2020-04-13,29,5.0,9.21985815602837,USA,54.46061396810462,2020-04-13 23:07:54,34.9697,-92.3731,2.0567375886524824,130.0,20804.0,AR,391.0,803.5451155974812,84000005.0,1.381
5,23217.0,23.217,23931,US,2020-04-13,714,6.0,12.59872132380594,USA,61.035047905282056,2020-04-13 23:07:54,36.1162,-119.6816,2.9877564665078773,3015.0,190882.0,CA,,486.83682312715933,84000006.0,23.217
6,7385.0,7.385,7691,US,2020-04-13,306,8.0,19.139253673124433,USA,135.7200246417166,2020-04-13 23:07:54,39.0598,-105.3111,3.9786763749837473,1472.0,37534.0,CO,,662.3476017295789,84000008.0,7.385
7,12779.0,12.779,13381,US,2020-04-13,602,9.0,13.152978103280773,USA,375.31340394195473,2020-04-13 23:07:54,41.5978,-72.7554,4.498916373963082,1760.0,44309.0,CT,,1242.7891499337925,84000009.0,12.779
8,1717.0,1.717,1758,US,2020-04-13,41,10.0,11.433447098976107,USA,180.53655711240089,2020-04-13 23:07:54,39.3185,-75.5071,2.3321956769055747,201.0,11820.0,DE,213.0,1213.8464761482248,84000010.0,1.717
10,1903.0,1.903,1955,US,2020-04-13,52,11.0,15.089514066496164,USA,277.0106652648463,2020-04-13 23:07:54,38.8974,-77.0268,2.659846547314578,295.0,10934.0,District of Columbia,507.0,1549.2760173942859,84000011.0,1.903
